date,rolling_mean
2016-02-22,36.1
2016-03-05,35.8
2016-03-17,33.8
2016-03-29,31.7
2016-04-10,29.4
2016-04-22,26.5
2016-05-04,25.0
2016-05-16,26.1
2016-05-28,29.9
2016-06-09,31.3
2016-07-03,34.1
2016-07-15,36.4
2016-07-27,38.2
2016-08-08,36.9
2016-08-20,38.7
2016-09-01,39.0
2016-09-13,40.5
2016-09-25,38.6
2016-10-01,37.4
2016-10-07,35.6
2016-10-13,34.1
2016-10-19,30.8
2016-10-25,30.5
2016-10-31,32.1
2016-11-06,33.1
2016-11-12,34.7
2016-11-18,36.8
2016-11-30,38.9
2016-12-06,40.1
2016-12-12,41.8
2016-12-18,42.8
2016-12-24,43.0
2016-12-30,41.9
2017-01-05,41.2
2017-01-11,39.7
2017-01-17,38.3
2017-01-23,37.4
2017-01-29,36.8
2017-02-04,37.5
2017-02-10,36.8
2017-02-22,36.9
2017-02-28,36.9
2017-03-12,36.3
2017-03-13,33.1
2017-03-24,32.5
2017-03-25,31.0
2017-03-30,31.4
2017-04-05,33.9
2017-04-06,34.7
2017-04-11,35.9
2017-04-17,36.5
2017-04-18,34.1
2017-04-23,32.4
2017-04-29,34.4
2017-04-30,33.5
2017-05-05,35.8
2017-05-11,39.7
2017-05-12,39.3
2017-05-17,38.9
2017-05-23,41.1
2017-05-24,40.4
2017-05-29,39.2
2017-06-04,40.3
2017-06-05,39.7
2017-06-10,38.9
2017-06-16,38.6
2017-06-17,37.3
2017-06-22,37.4
2017-06-28,38.0
2017-06-29,37.6
2017-07-04,37.8
2017-07-10,40.2
2017-07-11,39.8
2017-07-16,39.1
2017-07-22,39.1
2017-07-23,38.6
2017-07-28,36.3
2017-08-03,37.4
2017-08-04,38.3
2017-08-09,38.9
2017-08-15,40.3
2017-08-16,41.4
2017-08-21,40.2
2017-08-27,40.2
2017-08-28,39.5
2017-09-02,38.3
2017-09-08,38.5
2017-09-09,38.1
2017-09-14,36.6
2017-09-20,36.3
2017-09-21,35.4
2017-09-26,33.3
2017-10-02,32.8
2017-10-03,31.6
2017-10-08,30.3
2017-10-14,29.5
2017-10-15,28.8
2017-10-20,28.3
2017-10-26,29.0
2017-10-27,28.8
2017-11-01,29.2
2017-11-07,31.7
2017-11-08,32.3
2017-11-13,33.5
2017-11-19,36.9
2017-11-20,37.1
2017-11-25,36.7
2017-12-01,37.9
2017-12-02,37.2
2017-12-07,35.7
2017-12-13,37.3
2017-12-14,37.4
2017-12-19,35.9
2017-12-25,38.3
2017-12-26,37.8
2017-12-31,35.9
2018-01-06,35.9
2018-01-07,35.5
2018-01-12,31.8
2018-01-18,31.6
2018-01-19,32.4
2018-01-24,31.9
2018-01-30,33.3
2018-01-31,34.2
2018-02-05,34.0
2018-02-11,33.9
2018-02-12,32.3
2018-02-17,31.4
2018-02-23,32.0
2018-02-24,30.3
2018-03-01,29.7
2018-03-07,31.6
2018-03-08,30.9
2018-03-13,28.9
2018-03-19,30.9
2018-03-20,30.6
2018-03-25,29.2
2018-03-31,30.7
2018-04-01,31.4
2018-04-06,31.2
2018-04-12,31.2
2018-04-13,30.9
2018-04-18,29.0
2018-04-24,30.1
2018-04-25,29.0
2018-04-30,28.7
2018-05-06,30.7
2018-05-07,32.7
2018-05-18,32.9
2018-05-19,33.5
2018-05-24,34.8
2018-05-30,35.0
2018-05-31,35.2
2018-06-05,35.1
2018-06-11,36.6
2018-06-12,36.6
2018-06-17,36.3
2018-06-23,36.7
2018-06-24,36.5
2018-07-05,36.1
2018-07-11,36.2
2018-07-17,36.7
2018-07-18,37.5
2018-07-23,36.4
2018-07-30,35.8
2018-08-04,35.4
2018-08-10,36.2
2018-08-11,34.3
2018-08-16,34.1
2018-08-22,34.8
2018-08-23,34.8
2018-08-28,33.0
2018-09-03,35.0
2018-09-04,35.8
2018-09-09,35.5
2018-09-10,34.1
2018-09-15,34.5
2018-09-16,32.4
2018-09-21,32.7
2018-09-27,32.0
2018-09-28,32.5
2018-10-03,31.5
2018-10-09,30.5
2018-10-10,28.6
2018-10-15,27.2
2018-10-21,28.3
2018-10-22,27.7
2018-10-27,27.3
2018-11-02,28.4
2018-11-03,29.1
2018-11-08,28.0
2018-11-14,29.3
2018-11-15,29.1
2018-11-20,29.8
2018-11-26,31.7
2018-11-27,32.0
2018-12-02,32.1
2018-12-08,34.5
2018-12-09,34.1
2018-12-14,32.7
2018-12-20,34.7
2018-12-21,33.7
2018-12-26,34.0
2019-01-01,35.8
2019-01-02,35.9
2019-01-07,34.2
2019-01-13,35.9
2019-01-14,33.0
2019-01-19,31.8
2019-01-25,33.8
2019-01-26,32.2
2019-01-31,30.4
2019-02-06,32.4
2019-02-07,30.5
2019-02-12,27.1
2019-02-18,29.5
2019-02-19,28.7
2019-02-24,27.9
2019-03-02,28.8
2019-03-03,28.5
2019-03-08,26.8
2019-03-14,27.4
2019-03-15,25.7
2019-03-20,25.3
2019-03-26,25.9
2019-03-27,24.6
2019-04-01,25.8
2019-04-07,26.9
2019-04-08,25.5
2019-04-13,25.0
2019-04-19,25.1
2019-04-20,22.3
2019-04-25,21.1
2019-05-01,22.5
2019-05-02,22.6
2019-05-07,24.0
2019-05-13,27.6
2019-05-14,29.5
2019-05-19,29.9
2019-05-25,31.9
2019-05-26,32.0
2019-05-31,30.7
2019-06-06,32.9
2019-06-07,33.7
2019-06-12,34.1
2019-06-18,33.8
2019-06-19,33.4
2019-06-24,32.4
2019-06-30,32.9
2019-07-01,32.4
2019-07-06,34.5
2019-07-12,34.6
2019-07-13,34.0
2019-07-18,34.5
2019-07-25,35.4
2019-07-30,34.1
2019-08-05,36.1
2019-08-06,40.0
2019-08-11,41.0
2019-08-17,42.3
2019-08-18,44.0
2019-08-23,44.1
2019-08-29,43.1
2019-08-30,42.9
2019-09-04,41.4
2019-09-10,40.5
2019-09-11,38.3
2019-09-16,35.0
2019-09-22,33.0
2019-09-23,30.8
2019-09-28,29.7
2019-10-04,29.9
2019-10-05,28.6
2019-10-10,28.0
2019-10-16,28.8
2019-10-17,27.7
2019-10-22,27.2
2019-10-28,28.9
2019-10-29,27.8
2019-11-03,28.5
2019-11-10,28.8
2019-11-15,29.1
2019-11-21,28.6
2019-11-22,29.0
2019-11-27,28.2
2019-12-03,28.3
2019-12-04,26.8
2019-12-09,25.5
2019-12-15,25.8
2019-12-16,24.2
2019-12-21,24.4
2019-12-27,25.5
2019-12-28,24.5
2020-01-02,23.9
2020-01-09,23.7
2020-01-14,23.0
2020-01-20,22.4
2020-01-21,22.5
2020-01-26,23.5
2020-02-01,24.2
2020-02-02,23.0
2020-02-07,23.0
2020-02-13,25.1
2020-02-14,24.1
2020-02-19,24.4
2020-02-25,26.2
2020-02-26,26.4
2020-03-02,25.5
2020-03-08,25.3
2020-03-09,25.1
2020-03-14,24.5
2020-03-20,24.3
2020-03-21,23.5
2020-03-26,23.1
